Index,Topic 1:,Topic 2:,Topic 3:,Topic 4:,Topic 5:,Topic 6:,Topic 7:,Topic 8:,Topic 9:,Topic 10:,Topic 11:,Topic 12:,Topic 13:,Topic 14:,Topic 15:,Topic 16:,Topic 17:,Topic 18:,Topic 19:,Topic 20:,Topic 21:,Topic 22:,Topic 23:,Topic 24:,Topic 25:,Topic 26:,Topic 27:,Topic 28:,Topic 29:,Topic 30:,Topic 31:,Topic 32:,Topic 33:,Topic 34:,Topic 35:,Topic 36:,Topic 37:,Topic 38:,Topic 39:,Topic 40:
1,healthcare,novo,committee,johnson,energy,human,financial,health,2019,value,business,data,com,board,erm,safety,employees,tax,supply,management,development,topic,sales,environmental,diabetes,term,million,water,year,medicines,quality,people,14,waste,countries,new,cash,united,clinical,global
2,access,nordisk,executive,johnson johnson,emissions,rights,statements,community,report,fair,ethics,represent continuing,information,directors,erm cvs,health safety,training,income,chain,risk,research,companys strategy,region,impact,care,long,dkk,use,year year,patients,product,lilly,11,hazardous,income countries,products,flow,states,trials,diversity
3,access healthcare,novo nordisk,executive committee,companies,scope,human rights,financial statements,health systems,december,fair value,compliance,data represent,msdresponsibility,board directors,cvs,environment,work,assets,supply chain,risk management,research development,topic boundary,america,environmental impact,obesity,long term,2018,sites,end,need,products,healthy,12,hazardous waste,income,new medicines,cash flow,united states,clinical trials,inclusion
4,systems,nordisk way,corporate,innovation,ghg,labor,consolidated,workers,annual,market,conduct,continuing,msdresponsibility com,member,assurance,patient,employee,deferred,pharmaceutical,process,costs,topic managed,growth,social,diabetes care,short,million 2018,water use,beginning year,patient,product quality,million people,indicators,percent,low,new products,operating,lilly,trial,diversity inclusion
5,underserved,novo nordisks,corporate executive,johnson committed,ghg emissions,respect,consolidated financial,community health,31,based,ethical,represent,visit,members,independent,employee,provide,statement,industry,risks,sustainable,evaluating effectiveness,north america,sustainability,diseases,commitment,share,consumption,years,help,standards,insulin,15,non hazardous,middle,launched,net,nations,results,global health
6,patient,nordisks,remuneration,committed,renewable,respect human,report,health workers,2018,shares,code,continuing operations,page,remuneration,independent assurance,safety environment,safe,income statement,responsible,group,sustainable development,managed mechanisms,operations,impacts,treatment,targets,million dkk,water consumption,beginning,make,regulatory,000,action,non,middle income,disease,profit,united nations,clinical trial,company
7,improve,way,members,healthcare company,gas,principles,note,systems,december 2019,10,business ethics,operations,page msdresponsibility,member board,assurance statements,health,sanofi,taxes,responsible supply,audit,goals,mechanisms evaluating,north,suppliers,obesity care,make,2018 dkk,production,rate,innovative,life,help,action plans,landfill,low middle,develop,operating profit,outside united,phase,progress
8,healthcare systems,100 novo,members corporate,johnson innovation,renewable energy,labor human,reporting,health care,annual report,period,ethical business,privacy,learn,members board,statements erm,employee health,working,recognised,pharmaceutical supply,internal,development goals,boundary topic,sales growth,social environmental,diabetes obesity,term commitment,total,stress,impairment losses,access medicines,stewardship,need,plans,recycling,include,treatments,activities,outside,sharing,program
9,healthcare underserved,member,total,johnson foundation,greenhouse,business human,refer,mental,january,share,ethics compliance,protection,information visit,board members,statements,patient safety,company,rate,pharmaceutical industry,enterprise,development costs,explanation material,driven,environmental sustainability,disease,term financial,dividend,water stress,losses,ensure,requirements,people diabetes,14 categories,recovery,developing,treatment,financial,china,transparency,inclusion diversity
10,healthcare professionals,pharma,total remuneration,2019 johnson,greenhouse gas,principles business,annual,mental health,31 december,value chain,culture,data protection,learn visit,executive management,progress,culture,learning,note,psci,enterprise risk,manufacturing,material topic,cer,environmental impacts,type,term value,12,areas,impairment,life,high quality,million,fall 14,sent,developing countries,areas,position,kingdom,study,responsibility
